"transaction_id","character_id","vendor_id","tx_date"
"1","1","1","2024-01-02"
"2","4","1","2024-01-02"
"3","10","1","2024-01-03"
"4","15","1","2024-01-04"
"5","19","1","2024-01-05"
"6","22","1","2024-01-06"
"7","30","1","2024-01-07"
"8","35","1","2024-01-08"
"9","40","1","2024-01-09"
"10","50","1","2024-01-10"
"11","2","1","2024-01-11"
"12","3","1","2024-01-12"
"13","5","1","2024-01-13"
"14","6","1","2024-01-14"
"15","7","1","2024-01-15"
"16","8","1","2024-01-16"
"17","9","1","2024-01-17"
"18","11","1","2024-01-18"
"19","12","1","2024-01-19"
"20","13","1","2024-01-20"
"21","14","1","2024-01-21"
"22","16","1","2024-01-22"
"23","17","1","2024-01-23"
"24","18","1","2024-01-24"
"25","20","1","2024-01-25"
"26","21","1","2024-01-26"
"27","23","1","2024-01-27"
"28","24","1","2024-01-28"
"29","25","1","2024-01-29"
"30","26","1","2024-01-30"
"31","27","1","2024-01-31"
"32","28","1","2024-02-01"
"33","29","1","2024-02-02"
"34","31","1","2024-02-03"
"35","32","1","2024-02-04"
"36","33","1","2024-02-05"
"37","34","1","2024-02-06"
"38","36","1","2024-02-07"
"39","37","1","2024-02-08"
"40","38","1","2024-02-09"
"41","39","1","2024-02-10"
"42","41","1","2024-02-11"
"43","42","1","2024-02-12"
"44","43","1","2024-02-13"
"45","44","1","2024-02-14"
"46","45","1","2024-02-15"
"47","46","1","2024-02-16"
"48","47","1","2024-02-17"
"49","48","1","2024-02-18"
"50","49","1","2024-02-19"
"51","51","1","2024-02-20"
"52","52","1","2024-02-21"
"53","53","1","2024-02-22"
"54","54","1","2024-02-23"
"55","55","1","2024-02-24"
"56","56","1","2024-02-25"
"57","57","1","2024-02-26"
"58","58","1","2024-02-27"
"59","59","1","2024-02-28"
"60","60","1","2024-02-29"
"61","1","1","2024-03-01"
"62","2","1","2024-03-02"
"63","3","1","2024-03-03"
"64","4","1","2024-03-04"
"65","5","1","2024-03-05"
"66","6","1","2024-03-06"
"67","7","1","2024-03-07"
"68","8","1","2024-03-08"
"69","9","1","2024-03-09"
"70","10","1","2024-03-10"
"71","11","1","2024-03-11"
"72","12","1","2024-03-12"
"73","13","1","2024-03-13"
"74","14","1","2024-03-14"
"75","15","1","2024-03-15"
"76","16","1","2024-03-16"
"77","17","1","2024-03-17"
"78","18","1","2024-03-18"
"79","19","1","2024-03-19"
"80","20","1","2024-03-20"
"81","21","1","2024-03-21"
"82","22","1","2024-03-22"
"83","23","1","2024-03-23"
"84","24","1","2024-03-24"
"85","25","1","2024-03-25"
"86","26","1","2024-03-26"
"87","27","1","2024-03-27"
"88","28","1","2024-03-28"
"89","29","1","2024-03-29"
"90","30","1","2024-03-30"
