"tx_item_id","transaction_id","product_id","quantity"
"1","1","1","1"
"2","1","9","2"
"3","2","3","1"
"4","3","12","1"
"5","3","10","1"
"6","4","18","3"
"7","5","2","1"
"8","5","21","1"
"9","6","16","1"
"10","7","7","1"
"11","7","14","2"
"12","8","4","1"
"13","9","30","1"
"14","10","25","1"
"15","11","26","2"
"16","12","27","1"
"17","13","28","1"
"18","14","31","1"
"19","15","32","2"
"20","16","33","1"
"21","17","34","2"
"22","18","35","1"
"23","19","36","1"
"24","20","37","1"
"25","21","38","1"
"26","22","39","1"
"27","23","40","1"
"28","24","41","1"
"29","25","42","1"
"30","26","43","1"
"31","27","44","1"
"32","28","45","1"
"33","29","46","1"
"34","30","47","1"
"35","31","48","1"
"36","32","49","1"
"37","33","50","1"
"38","34","51","1"
"39","35","52","1"
"40","36","53","1"
"41","37","54","1"
"42","38","55","1"
"43","39","56","1"
"44","40","57","1"
"45","41","58","1"
"46","42","59","1"
"47","43","60","1"
"48","44","61","1"
"49","45","62","1"
"50","46","63","1"
"51","47","64","1"
"52","48","65","1"
"53","49","66","1"
"54","50","67","1"
"55","51","68","1"
"56","52","69","1"
"57","53","70","1"
"58","54","71","1"
"59","55","72","1"
"60","56","73","1"
"61","57","74","1"
"62","58","75","1"
"63","59","76","1"
"64","60","77","1"
"65","61","78","1"
"66","62","79","1"
"67","63","80","1"
"68","64","1","2"
"69","65","9","1"
"70","66","3","1"
"71","67","12","1"
"72","68","10","2"
"73","69","18","1"
"74","70","2","1"
"75","71","21","1"
"76","72","16","1"
"77","73","7","1"
"78","74","14","2"
"79","75","4","1"
"80","76","30","1"
"81","77","25","1"
"82","78","26","2"
"83","79","27","1"
"84","80","28","1"
"85","81","31","1"
"86","82","32","2"
"87","83","33","1"
"88","84","34","1"
"89","85","35","1"
"90","86","36","1"
"91","87","37","1"
"92","88","38","1"
"93","89","39","1"
"94","90","40","1"
"95","1","41","1"
"96","2","42","1"
"97","3","43","1"
"98","4","44","1"
"99","5","45","1"
"100","6","46","1"
"101","7","47","1"
"102","8","48","1"
"103","9","49","1"
"104","10","50","1"
"105","11","51","1"
"106","12","52","1"
"107","13","53","1"
"108","14","54","1"
"109","15","55","1"
"110","16","56","1"
"111","17","57","1"
"112","18","58","1"
"113","19","59","1"
"114","20","60","1"
"115","21","61","1"
"116","22","62","1"
"117","23","63","1"
"118","24","64","1"
"119","25","65","1"
"120","26","66","1"
"121","27","67","1"
"122","28","68","1"
"123","29","69","1"
"124","30","70","1"
"125","31","71","1"
"126","32","72","1"
"127","33","73","1"
"128","34","74","1"
"129","35","75","1"
"130","36","76","1"
"131","37","77","1"
"132","38","78","1"
"133","39","79","1"
"134","40","80","1"
"135","41","1","1"
"136","42","2","1"
"137","43","3","1"
"138","44","4","1"
"139","45","5","1"
"140","46","6","1"
"141","47","7","1"
"142","48","8","1"
"143","49","9","1"
"144","50","10","1"
"145","51","11","1"
"146","52","12","1"
"147","53","13","1"
"148","54","14","1"
"149","55","15","1"
"150","56","16","1"
